AdCode,OriginalRows,PerfectRows,RetainedRows,AvgMissingInRetained,PerfectBlocks,FilteredBlocks
140524,142,109,100,0.0,11,10
140603,95,71,95,0.38,8,10
140221,1340,414,100,0.0,42,10
140602,341,22,100,1.75,3,10
140722,304,25,100,0.87,3,10
140581,643,299,100,0.0,30,10
140721,85,46,85,0.92,5,9
140106,2033,1070,100,0.0,107,10
140703,391,71,100,0.29,8,10
140621,166,97,100,0.03,10,10
140725,207,18,100,1.27,2,10
140525,345,257,100,0.0,26,10
140728,301,9,100,1.37,1,10
140821,511,93,100,0.07,10,10
140781,280,30,100,1.17,3,10
140729,398,191,100,0.0,20,10
140724,169,74,100,0.26,8,10
140723,245,129,100,0.0,13,10
140824,448,315,100,0.0,32,10
140727,286,81,100,0.19,9,10
140922,83,32,83,0.76,4,9
140825,260,47,100,0.53,5,10
140823,412,292,100,0.0,30,10
140828,99,63,99,0.27,7,10
140923,181,33,100,1.02,4,10
140827,220,140,100,0.0,14,10
140902,382,263,100,0.0,27,10
140702,1321,153,100,0.0,16,10
140830,219,153,100,0.0,16,10
140931,77,31,77,0.71,4,8
140928,162,92,100,0.08,10,10
140927,63,1,63,2.1,1,7
140932,30,0,30,2.9,0,3
140929,117,74,100,0.26,8,10
140822,237,141,100,0.0,15,10
140926,144,43,100,0.57,5,10
140829,182,136,100,0.0,14,10
141025,43,0,43,1.56,0,5
140925,146,76,100,0.12,8,10
140882,413,196,100,0.0,20,10
140881,549,376,100,0.0,38,10
140921,123,93,100,0.07,10,10
141030,17,1,17,2.29,1,2
140981,442,285,100,0.0,29,10
140826,299,230,100,0.0,23,10
141026,66,5,66,0.65,1,7
140924,209,110,100,0.0,11,10
140502,1152,541,100,0.0,55,10
141021,124,5,100,1.64,1,10
141027,37,4,37,1.38,1,4
141032,17,0,17,2.53,0,2
141022,184,10,100,1.92,1,10
141002,780,91,100,0.09,10,10
141031,77,16,77,0.97,2,8
141034,35,10,35,0.69,1,4
141082,109,64,100,0.38,7,10
141102,635,20,100,1.21,2,10
140930,101,40,100,0.9,4,10
141028,69,3,69,1.65,1,7
141124,464,14,100,1.72,2,10
141121,195,28,100,2.07,3,10
141122,272,0,100,2.43,0,10
141023,285,207,100,0.0,21,10
140802,1148,325,100,0.0,33,10
141130,151,11,100,2.12,2,10
141123,253,133,100,0.0,14,10
141125,280,16,100,1.0,2,10
141081,272,19,100,1.19,2,10
141024,199,82,100,0.18,9,10
150122,134,77,100,0.12,8,10
141126,86,12,86,1.73,2,9
141181,461,30,100,0.78,3,10
141033,100,22,100,1.04,3,10
141129,197,21,100,2.12,3,10
141029,150,48,100,0.52,5,10
141128,158,35,100,0.97,4,10
150103,236,170,100,0.0,17,10
141127,186,59,100,0.84,6,10
150205,60,4,60,1.72,1,6
150123,141,49,100,0.24,5,10
150125,157,3,100,1.81,1,10
150206,32,19,32,1.16,2,4
150121,299,104,100,0.0,11,10
150223,55,18,55,1.65,2,6
141182,380,61,100,0.39,7,10
150105,445,275,100,0.0,28,10
150102,747,349,100,0.0,35,10
150124,104,85,100,0.13,9,10
150202,455,89,100,0.11,9,10
150203,631,51,100,0.49,6,10
150302,445,123,100,0.0,13,10
150222,106,13,100,1.4,2,10
150304,346,81,100,0.19,9,10
150104,440,269,100,0.0,27,10
150204,491,115,100,0.0,12,10
150221,254,158,100,0.0,16,10
150207,338,120,100,0.0,12,10
150421,299,42,100,0.58,5,10
150426,145,6,100,1.2,1,10
150425,155,71,100,0.29,8,10
150430,399,100,100,0.0,10,10
150423,301,19,100,0.81,2,10
150422,196,73,100,0.27,8,10
150428,288,9,100,2.16,1,10
150429,679,51,100,0.73,6,10
150502,1062,404,100,0.0,41,10
150424,174,120,100,0.0,12,10
150581,137,14,100,1.28,2,10
150404,327,192,100,0.0,20,10
150403,300,176,100,0.0,18,10
150525,240,190,100,0.0,19,10
150402,723,396,100,0.0,40,10
150623,194,17,100,0.83,2,10
150521,186,150,100,0.0,15,10
150523,309,247,100,0.0,25,10
150526,273,165,100,0.0,17,10
150522,286,208,100,0.0,21,10
150524,209,114,100,0.0,12,10
150726,20,5,20,1.4,1,2
150624,591,21,100,2.13,3,10
150727,33,18,33,0.36,2,4
150621,588,438,100,0.0,44,10
150303,2053,108,100,0.0,11,10
150626,403,172,100,0.0,18,10
150725,55,1,55,1.6,1,6
150784,103,3,100,1.6,1,10
150625,308,170,100,0.0,17,10
150723,144,0,100,1.22,0,10
150781,322,78,100,0.22,8,10
150785,63,14,63,1.6,2,7
150782,371,102,100,0.0,11,10
150627,620,415,100,0.0,42,10
150702,681,203,100,0.0,21,10
150823,306,22,100,0.78,3,10
150724,128,29,100,0.71,3,10
150802,402,45,100,0.99,5,10
