法律依据,出现次数
《最高人民法院关于刑事附带民事诉讼范围问题的规定》第4条,2937
《中华人民共和国刑法(1997年)》第71条,2925
《中华人民共和国刑法》第41条,2890
《中华人民共和国刑法(1997年)》第38条第32款,2879
《中华人民共和国刑法(1997年)》第38条第31款,2877
《中华人民共和国刑法》第75条,2869
《最高人民法院关于审理交通肇事刑事案件具体应用法律若干问题的解释》第4条,2858
《中华人民共和国刑法》第81条第81款,2852
《中华人民共和国刑法(1997年)》第359条第351款,2801
《中华人民共和国刑法(1997年)》第342条,2786
《中华人民共和国刑法》第397条第391款,2783
《中华人民共和国刑法》第384条第381款,2765
《中华人民共和国刑法(1997年)》第93条第91款,2723
《中华人民共和国刑法》第272条第271款,2703
《中华人民共和国刑法(1997年)》第233条,2643
《中华人民共和国刑法》第276条第271款,2609
《中华人民共和国刑法(1997年)》第18条第11款,2585
《中华人民共和国刑法(1997年)》第382条第381款,2532
《中华人民共和国刑法》第351条第351款,2512
《最高人民法院关于处理自首和立功具体应用法律若干问题的解释》第5条,2373
《中华人民共和国刑法》第344条,2324
《中华人民共和国刑法(1997年)》第63条第61款,2321
《中华人民共和国刑法》第269条,2287
《中华人民共和国刑法(1997年)》第232条,2268
《最高人民法院、最高人民检察院、司法部关于适用简易程序审理公诉案件的若干意见》第9条,2216
《中华人民共和国刑法》第163条第161款,2212
《中华人民共和国刑法(1997年)》第269条,2207
《中华人民共和国刑法(1997年)》第41条,2179
《中华人民共和国刑法》第336条第331款,2115
《中华人民共和国刑法(1997年)》第17条第11款,2072
《中华人民共和国刑法(1997年)》第292条第291款,2069
《中华人民共和国刑法(1997年)》第19条,2062
《中华人民共和国刑法(1997年)》第280条第281款,2056
《中华人民共和国刑法(1997年)》第57条第51款,1998
《中华人民共和国刑法(1997年)》第59条第51款,1969
《中华人民共和国刑法(1997年)》第163条第161款,1952
《中华人民共和国刑法》第43条第41款,1791
《中华人民共和国刑法(1997年)》第336条第331款,1743
《中华人民共和国刑法(1997年)》第272条第271款,1708
《中华人民共和国刑法》第134条第131款,1694
《最高人民法院关于审理非法集资刑事案件具体应用法律若干问题的解释》第3条第1款,1680
《中华人民共和国行政处罚法》第28条第21款,1672
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释(二)》第4条,1658
《中华人民共和国刑法(1997年)》第389条第381款,1629
《中华人民共和国刑法(1997年)》第390条第391款,1617
《中华人民共和国刑法》第343条第341款,1603
《中华人民共和国刑法》第134条,1595
《最高人民法院、最高人民检察院关于办理非法生产、销售烟草专卖品等刑事案件具体应用法律若干问题的解释》第3条第1款,1591
《中华人民共和国刑法》第341条第341款,1583
《中华人民共和国刑事诉讼法(1996年)》第189条,1555
《中华人民共和国刑法》第214条,1528
《中华人民共和国刑法》第175条第171款,1517
《中华人民共和国刑事诉讼法(2012年)》第210条第211款,1507
《最高人民法院、最高人民检察院关于办理妨害信用卡管理刑事案件具体应用法律若干问题的解释》第5条第1款,1506
《最高人民法院关于审理盗窃案件具体应用法律若干问题的解释》第13条,1498
《最高人民法院、最高人民检察院关于办理赌博刑事案件具体应用法律若干问题的解释》第1条,1426
《中华人民共和国刑法(1997年)》第236条第231款,1395
《中华人民共和国刑法(1997年)》第397条第391款,1387
《中华人民共和国刑法(1997年)》第338条,1382
《中华人民共和国刑法》第153条第151款,1375
《最高人民法院关于审理非法制造、买卖、运输枪支、弹药、爆炸物等刑事案件具体应用法律若干问题的解释(2009年)》第8条第1款,1374
《中华人民共和国刑法》第17条,1359
《中华人民共和国刑法》第358条第351款,1354
《中华人民共和国刑法》第2条,1342
《中华人民共和国刑法(1997年)》第75条,1341
《中华人民共和国刑法》第213条,1321
《中华人民共和国刑法》第237条第231款,1248
《中华人民共和国刑法》第1条,1232
《中华人民共和国刑事诉讼法(2012年)》第200条第201款,1229
《中华人民共和国刑事诉讼法》第181条第181款,1217
《最高人民法院、最高人民检察院关于办理侵犯知识产权刑事案件具体应用法律若干问题的解释》第2条第1款,1216
《最高人民法院、最高人民检察院、司法部关于适用普通程序审理“被告人认罪案件”的若干意见(试行)》第9条,1175
《中华人民共和国刑事诉讼法》第157条,1172
《最高人民法院关于审理非法行医刑事案件具体应用法律若干问题的解释》第2条,1169
《中华人民共和国刑事诉讼法(2012年)》第227条,1158
《中华人民共和国刑法》第310条第311款,1151
《中华人民共和国刑法》第177条第171款,1147
《最高人民法院关于适用财产刑若干问题的规定》第4条,1138
